Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,pose.position.x,pose.position.y,pose.position.z,pose.orientation.x,pose.orientation.y,pose.orientation.z,pose.orientation.w
1658858829.0780172,7089,1658858829,75744768,map,2.111342430114746,12.697653770446777,3.92199444770813,-0.005702750044089823,0.0027135102171560485,-0.8162191338972354,-0.5777079201155917
1658858829.127948,7090,1658858829,125744256,map,2.049736976623535,12.73013973236084,3.9155139923095703,-0.007261391787046439,0.0024666608218151635,-0.8053538095531392,-0.592744826389865
1658858829.1777613,7091,1658858829,175744256,map,1.9910117387771606,12.758757591247559,3.91141939163208,-0.008918227013893953,0.002850241150700489,-0.7948254383303069,-0.6067659053830783
1658858829.227794,7092,1658858829,225744000,map,1.9349421262741089,12.783987998962402,3.9092929363250732,-0.009753757743378564,0.0027047284741777153,-0.7843058457842168,-0.6202917772487949
1658858829.2779155,7093,1658858829,275744000,map,1.8805556297302246,12.809090614318848,3.906761407852173,-0.00996443145420883,0.003399977147839237,-0.7743898520720007,-0.6326211403905923
1658858829.327855,7094,1658858829,325744768,map,1.827877402305603,12.834039688110352,3.904040575027466,-0.008731210000097389,0.00257032279432832,-0.7651393613441342,-0.6438003705610597
1658858829.378518,7095,1658858829,375744768,map,1.7747553586959839,12.858839988708496,3.9010720252990723,-0.0074940720633088756,0.0024146695824159943,-0.7565601420595295,-0.6538767159806058
1658858829.42785,7096,1658858829,425745536,map,1.7216566801071167,12.883087158203125,3.89786696434021,-0.0073744637036341565,0.0016243164559766122,-0.7496098915687167,-0.6618368298481667
1658858829.478338,7097,1658858829,475745536,map,1.671726942062378,12.906243324279785,3.894920587539673,-0.011019175808705498,0.0007592678067853604,-0.7437370126931382,-0.6683810718648314
1658858829.5283792,7098,1658858829,525746048,map,1.6240955591201782,12.928510665893555,3.8921024799346924,-0.01962535920036547,-0.0001991128669633443,-0.7384453077660508,-0.6740276945857828
1658858829.57837,7099,1658858829,575746048,map,1.5780351161956787,12.949173927307129,3.8916053771972656,-0.030570565959364568,-0.0027107679388226197,-0.7336036358707453,-0.6788842299474402
1658858829.6284435,7100,1658858829,625745792,map,1.5347131490707397,12.967665672302246,3.8930954933166504,-0.04177291615410851,-0.00549725407648366,-0.7297113235690652,-0.6824559970640476
1658858829.678447,7101,1658858829,675745792,map,1.4937951564788818,12.985448837280273,3.8943872451782227,-0.049355127346496296,-0.0084799962262487,-0.7272216816220903,-0.6845734342255425
1658858829.7283537,7102,1658858829,725745792,map,1.455832839012146,13.002042770385742,3.8953957557678223,-0.054245662622282066,-0.009244782826343965,-0.7255354031886674,-0.6859812831244169
1658858829.7784767,7103,1658858829,775745792,map,1.4219121932983398,13.015837669372559,3.8967514038085938,-0.05530306430393296,-0.008720315442890297,-0.7254663522967119,-0.6859767480479748
1658858829.8284183,7104,1658858829,825746560,map,1.392018437385559,13.026951789855957,3.898104667663574,-0.05361080891283734,-0.008052615094523038,-0.7259842957474832,-0.6855711771113788
1658858829.8783193,7105,1658858829,875746560,map,1.3648217916488647,13.037014961242676,3.8985307216644287,-0.048411048407923596,-0.007304909219537509,-0.7278592771184279,-0.6839765210926319
1658858829.9283671,7106,1658858829,925747072,map,1.3401495218276978,13.045869827270508,3.8981900215148926,-0.04172891018659888,-0.0036084905799283686,-0.7299576901894349,-0.6822077743500717
1658858829.9782438,7107,1658858829,975747072,map,1.3193728923797607,13.050162315368652,3.898684024810791,-0.03456503309730759,-0.0002698479582713585,-0.7325610475115626,-0.67982313680679
1658858830.0283072,7108,1658858830,25747328,map,1.3018752336502075,13.050536155700684,3.8997251987457275,-0.026357894867124712,0.004357190025676007,-0.735777797741832,-0.6766958760207081
1658858830.0783062,7109,1658858830,75747328,map,1.2861219644546509,13.050521850585938,3.8999218940734863,-0.01903080388932804,0.008052215505478157,-0.738873627720197,-0.6735270986295764
1658858830.1283038,7110,1658858830,125747584,map,1.2719205617904663,13.050124168395996,3.899505853652954,-0.012476638665004265,0.010075018458633287,-0.7422488110594263,-0.6699324816513595
1658858830.1783075,7111,1658858830,175747584,map,1.2569504976272583,13.049328804016113,3.897383451461792,-0.0061687596807942875,0.012557764283010867,-0.745872388724336,-0.6659419109042963
1658858830.2284243,7112,1658858830,225747840,map,1.2416373491287231,13.048150062561035,3.893977642059326,-0.0015950748273750586,0.013701940257684056,-0.7491741724413948,-0.6622293952371949
1658858830.2782538,7113,1658858830,275747840,map,1.2273163795471191,13.046578407287598,3.8906023502349854,0.0010668275165380465,0.014627972899425816,-0.7521090915355301,-0.6588754045474026
1658858830.328244,7114,1658858830,325748096,map,1.2135685682296753,13.044562339782715,3.887270450592041,0.0033111974430155935,0.014900247765409482,-0.7544466309325674,-0.6561838916512059
1658858830.3782403,7115,1658858830,375748096,map,1.2013570070266724,13.041114807128906,3.8849985599517822,0.00440800683286348,0.014970089678269764,-0.7558021832194803,-0.6546140280588653
1658858830.4283333,7116,1658858830,425748608,map,1.1905946731567383,13.036415100097656,3.88368821144104,0.0045452902097766505,0.01410346005894594,-0.7561680400775742,-0.654209697204585
